idmeter,clus_num
22814501,4
22814502,10
22814504,4
22814505,3
22814506,11
22814507,5
22814508,9
22814509,1
22814510,7
22814511,11
22814512,4
22814513,6
22814514,1
22814515,8
22814516,7
22814517,12
22814518,10
22814519,7
22814520,11
22814522,9
22814524,12
22814525,6
22814526,11
22814527,2
22814528,7
22814530,10
22814531,11
22814532,11
22814533,4
22814534,3
22814535,12
22814536,3
22814537,6
22814538,5
22814543,3
22814545,11
22814546,3
22814548,4
22814550,1
22814552,3
22814555,9
22814558,8
22814561,9
22814562,5
22814563,1
22814565,6
22814568,12
22814569,1
22814571,1
22814572,1
22814573,11
22814574,7
22814575,9
22814576,7
22814577,9
22814578,8
22814580,1
22814581,4
22814583,4
22814584,7
22814585,1
22814586,4
22814587,3
22814588,7
22814589,5
22814591,4
22814592,7
22814593,7
22814594,1
22814595,3
22814596,7
22814597,1
22814598,4
22814599,7
22814600,1
22814601,7
22814602,1
22814604,4
22814605,1
22814606,4
22814607,4
22814608,4
22814610,1
22814620,8
22814621,9
22814624,11
22814625,11
22814626,6
22814627,7
22814629,10
22814631,7
22814632,7
22814633,11
22814634,11
22814635,4
22814636,1
22814637,9
22814638,4
22814639,11
22814640,4
22814641,1
22814642,4
22814643,7
22814645,1
22814646,1
22814647,4
22814648,11
22814649,8
22814650,6
22814651,11
22814652,9
22814653,7
22814654,1
22814655,1
22814656,4
22814657,1
22814658,10
22814660,1
22814662,10
22814664,4
22814665,5
22814666,7
22814668,9
22814670,11
22814671,4
22814672,10
22814673,8
22814681,6
22814682,5
22814687,1
22814689,4
22814690,7
22814692,4
22814693,1
22814694,4
22814696,5
22814698,1
22814699,3
22814700,7
22814701,7
22814702,9
22814703,6
22814704,1
22814705,6
22814706,4
22814707,7
22814708,7
22814709,1
22814711,11
22814712,7
22814713,4
22814714,7
22814715,1
22814716,1
22814717,1
22814718,11
22814719,11
22814720,7
22814721,1
22814722,4
22814723,3
22814724,3
22814725,4
22814726,11
22814727,1
22814728,1
22814729,7
22814730,7
22814731,4
22814736,4
22814738,4
22814739,4
22814740,3
22814741,1
22814742,5
22814743,4
22814744,7
22814746,1
22814747,1
22814748,11
22814753,7
22814754,1
